"STATISTIC","Statistic Label","TLIST(W1)","Week","C02875V03459","Vehicle Type","UNIT","VALUE"
"TII02C01","Average Traffic Volume","2023M05D29","2023 May 29","22","Heavy goods vehicle","Number","1343"
"TII02C01","Average Traffic Volume","2023M05D29","2023 May 29","21","Light goods vehicle","Number","2601"
"TII02C01","Average Traffic Volume","2023M05D29","2023 May 29","-2","All buses","Number","158"
"TII02C01","Average Traffic Volume","2023M05D29","2023 May 29","80","Other vehicles","Number","231"
"TII02C01","Average Traffic Volume","2023M06D05","2023 June 05","-1","All cars","Number","16398"
"TII02C01","Average Traffic Volume","2023M06D05","2023 June 05","22","Heavy goods vehicle","Number","1223"
"TII02C01","Average Traffic Volume","2023M06D05","2023 June 05","21","Light goods vehicle","Number","2437"
"TII02C01","Average Traffic Volume","2023M06D05","2023 June 05","-2","All buses","Number","156"
"TII02C01","Average Traffic Volume","2023M06D05","2023 June 05","80","Other vehicles","Number","219"
"TII02C01","Average Traffic Volume","2023M06D12","2023 June 12","-1","All cars","Number","16594"
"TII02C01","Average Traffic Volume","2023M06D12","2023 June 12","22","Heavy goods vehicle","Number","1335"
"TII02C01","Average Traffic Volume","2023M06D12","2023 June 12","21","Light goods vehicle","Number","2613"
"TII02C01","Average Traffic Volume","2023M06D12","2023 June 12","-2","All buses","Number","160"
"TII02C01","Average Traffic Volume","2023M06D12","2023 June 12","80","Other vehicles","Number","204"
"TII02C01","Average Traffic Volume","2023M06D19","2023 June 19","-1","All cars","Number","16536"
"TII02C01","Average Traffic Volume","2023M06D19","2023 June 19","22","Heavy goods vehicle","Number","1317"
"TII02C01","Average Traffic Volume","2023M06D19","2023 June 19","21","Light goods vehicle","Number","2601"
"TII02C01","Average Traffic Volume","2023M06D19","2023 June 19","-2","All buses","Number","162"
"TII02C01","Average Traffic Volume","2023M06D19","2023 June 19","80","Other vehicles","Number","203"
"TII02C01","Average Traffic Volume","2023M06D26","2023 June 26","-1","All cars","Number","16783"
"TII02C01","Average Traffic Volume","2023M06D26","2023 June 26","22","Heavy goods vehicle","Number","1325"
"TII02C01","Average Traffic Volume","2023M06D26","2023 June 26","21","Light goods vehicle","Number","2632"
"TII02C01","Average Traffic Volume","2023M06D26","2023 June 26","-2","All buses","Number","164"
"TII02C01","Average Traffic Volume","2023M06D26","2023 June 26","80","Other vehicles","Number","207"
"TII02C01","Average Traffic Volume","2023M07D03","2023 July 03","-1","All cars","Number","16378"
"TII02C01","Average Traffic Volume","2023M07D03","2023 July 03","22","Heavy goods vehicle","Number","1300"
"TII02C01","Average Traffic Volume","2023M07D03","2023 July 03","21","Light goods vehicle","Number","2581"
"TII02C01","Average Traffic Volume","2023M07D03","2023 July 03","-2","All buses","Number","155"
"TII02C01","Average Traffic Volume","2023M07D03","2023 July 03","80","Other vehicles","Number","200"
"TII02C01","Average Traffic Volume","2023M07D10","2023 July 10","-1","All cars","Number","16196"
"TII02C01","Average Traffic Volume","2023M07D10","2023 July 10","22","Heavy goods vehicle","Number","1258"
"TII02C01","Average Traffic Volume","2023M07D10","2023 July 10","21","Light goods vehicle","Number","2547"
"TII02C01","Average Traffic Volume","2023M07D10","2023 July 10","-2","All buses","Number","150"
"TII02C01","Average Traffic Volume","2023M07D10","2023 July 10","80","Other vehicles","Number","187"
"TII02C01","Average Traffic Volume","2023M07D17","2023 July 17","-1","All cars","Number","16379"
"TII02C01","Average Traffic Volume","2023M07D17","2023 July 17","22","Heavy goods vehicle","Number","1281"
"TII02C01","Average Traffic Volume","2023M07D17","2023 July 17","21","Light goods vehicle","Number","2576"
"TII02C01","Average Traffic Volume","2023M07D17","2023 July 17","-2","All buses","Number","150"
"TII02C01","Average Traffic Volume","2023M07D17","2023 July 17","80","Other vehicles","Number","192"
"TII02C01","Average Traffic Volume","2023M07D24","2023 July 24","-1","All cars","Number","16443"
"TII02C01","Average Traffic Volume","2023M07D24","2023 July 24","22","Heavy goods vehicle","Number","1255"
"TII02C01","Average Traffic Volume","2023M07D24","2023 July 24","21","Light goods vehicle","Number","2542"
"TII02C01","Average Traffic Volume","2023M07D24","2023 July 24","-2","All buses","Number","146"
"TII02C01","Average Traffic Volume","2023M07D24","2023 July 24","80","Other vehicles","Number","200"
"TII02C01","Average Traffic Volume","2023M07D31","2023 July 31","-1","All cars","Number","16611"
"TII02C01","Average Traffic Volume","2023M07D31","2023 July 31","22","Heavy goods vehicle","Number","1238"
"TII02C01","Average Traffic Volume","2023M07D31","2023 July 31","21","Light goods vehicle","Number","2532"
"TII02C01","Average Traffic Volume","2023M07D31","2023 July 31","-2","All buses","Number","147"
"TII02C01","Average Traffic Volume","2023M07D31","2023 July 31","80","Other vehicles","Number","193"
"TII02C01","Average Traffic Volume","2023M08D07","2023 August 07","-1","All cars","Number","16397"
"TII02C01","Average Traffic Volume","2023M08D07","2023 August 07","22","Heavy goods vehicle","Number","1140"
"TII02C01","Average Traffic Volume","2023M08D07","2023 August 07","21","Light goods vehicle","Number","2395"
"TII02C01","Average Traffic Volume","2023M08D07","2023 August 07","-2","All buses","Number","142"
"TII02C01","Average Traffic Volume","2023M08D07","2023 August 07","80","Other vehicles","Number","204"
"TII02C01","Average Traffic Volume","2023M08D14","2023 August 14","-1","All cars","Number","16814"
"TII02C01","Average Traffic Volume","2023M08D14","2023 August 14","22","Heavy goods vehicle","Number","1292"
"TII02C01","Average Traffic Volume","2023M08D14","2023 August 14","21","Light goods vehicle","Number","2606"
"TII02C01","Average Traffic Volume","2023M08D14","2023 August 14","-2","All buses","Number","147"
"TII02C01","Average Traffic Volume","2023M08D14","2023 August 14","80","Other vehicles","Number","209"
"TII02C01","Average Traffic Volume","2023M08D21","2023 August 21","-1","All cars","Number","16799"
"TII02C01","Average Traffic Volume","2023M08D21","2023 August 21","22","Heavy goods vehicle","Number","1288"
"TII02C01","Average Traffic Volume","2023M08D21","2023 August 21","21","Light goods vehicle","Number","2613"
"TII02C01","Average Traffic Volume","2023M08D21","2023 August 21","-2","All buses","Number","148"
"TII02C01","Average Traffic Volume","2023M08D21","2023 August 21","80","Other vehicles","Number","206"
"TII02C01","Average Traffic Volume","2023M08D28","2023 August 28","-1","All cars","Number","16457"
"TII02C01","Average Traffic Volume","2023M08D28","2023 August 28","22","Heavy goods vehicle","Number","1292"
"TII02C01","Average Traffic Volume","2023M08D28","2023 August 28","21","Light goods vehicle","Number","2590"
"TII02C01","Average Traffic Volume","2023M08D28","2023 August 28","-2","All buses","Number","147"
"TII02C01","Average Traffic Volume","2023M08D28","2023 August 28","80","Other vehicles","Number","200"
"TII02C01","Average Traffic Volume","2023M09D04","2023 September 04","-1","All cars","Number","16584"
"TII02C01","Average Traffic Volume","2023M09D04","2023 September 04","22","Heavy goods vehicle","Number","1306"
"TII02C01","Average Traffic Volume","2023M09D04","2023 September 04","21","Light goods vehicle","Number","2581"
"TII02C01","Average Traffic Volume","2023M09D04","2023 September 04","-2","All buses","Number","154"
"TII02C01","Average Traffic Volume","2023M09D04","2023 September 04","80","Other vehicles","Number","206"
"TII02C01","Average Traffic Volume","2023M09D11","2023 September 11","-1","All cars","Number","16246"
"TII02C01","Average Traffic Volume","2023M09D11","2023 September 11","22","Heavy goods vehicle","Number","1307"
"TII02C01","Average Traffic Volume","2023M09D11","2023 September 11","21","Light goods vehicle","Number","2559"
"TII02C01","Average Traffic Volume","2023M09D11","2023 September 11","-2","All buses","Number","152"
"TII02C01","Average Traffic Volume","2023M09D11","2023 September 11","80","Other vehicles","Number","183"
"TII02C01","Average Traffic Volume","2023M09D18","2023 September 18","-1","All cars","Number","16374"
"TII02C01","Average Traffic Volume","2023M09D18","2023 September 18","22","Heavy goods vehicle","Number","1296"
"TII02C01","Average Traffic Volume","2023M09D18","2023 September 18","21","Light goods vehicle","Number","2587"
"TII02C01","Average Traffic Volume","2023M09D18","2023 September 18","-2","All buses","Number","161"
"TII02C01","Average Traffic Volume","2023M09D18","2023 September 18","80","Other vehicles","Number","175"
"TII02C01","Average Traffic Volume","2023M09D25","2023 September 25","-1","All cars","Number","16106"
"TII02C01","Average Traffic Volume","2023M09D25","2023 September 25","22","Heavy goods vehicle","Number","1283"
"TII02C01","Average Traffic Volume","2023M09D25","2023 September 25","21","Light goods vehicle","Number","2529"
"TII02C01","Average Traffic Volume","2023M09D25","2023 September 25","-2","All buses","Number","151"
"TII02C01","Average Traffic Volume","2023M09D25","2023 September 25","80","Other vehicles","Number","174"
"TII02C01","Average Traffic Volume","2023M10D02","2023 October 02","-1","All cars","Number","16097"
"TII02C01","Average Traffic Volume","2023M10D02","2023 October 02","22","Heavy goods vehicle","Number","1298"
"TII02C01","Average Traffic Volume","2023M10D02","2023 October 02","21","Light goods vehicle","Number","2535"
"TII02C01","Average Traffic Volume","2023M10D02","2023 October 02","-2","All buses","Number","148"
"TII02C01","Average Traffic Volume","2023M10D02","2023 October 02","80","Other vehicles","Number","180"
"TII02C01","Average Traffic Volume","2023M10D09","2023 October 09","-1","All cars","Number","16218"
"TII02C01","Average Traffic Volume","2023M10D09","2023 October 09","22","Heavy goods vehicle","Number","1305"
"TII02C01","Average Traffic Volume","2023M10D09","2023 October 09","21","Light goods vehicle","Number","2552"
"TII02C01","Average Traffic Volume","2023M10D09","2023 October 09","-2","All buses","Number","149"
"TII02C01","Average Traffic Volume","2023M10D09","2023 October 09","80","Other vehicles","Number","174"
"TII02C01","Average Traffic Volume","2023M10D16","2023 October 16","-1","All cars","Number","15861"
"TII02C01","Average Traffic Volume","2023M10D16","2023 October 16","22","Heavy goods vehicle","Number","1289"
"TII02C01","Average Traffic Volume","2023M10D16","2023 October 16","21","Light goods vehicle","Number","2515"
"TII02C01","Average Traffic Volume","2023M10D16","2023 October 16","-2","All buses","Number","145"
"TII02C01","Average Traffic Volume","2023M10D16","2023 October 16","80","Other vehicles","Number","160"
"TII02C01","Average Traffic Volume","2023M10D23","2023 October 23","-1","All cars","Number","16295"
"TII02C01","Average Traffic Volume","2023M10D23","2023 October 23","22","Heavy goods vehicle","Number","1302"
"TII02C01","Average Traffic Volume","2023M10D23","2023 October 23","21","Light goods vehicle","Number","2552"
